"ProductId","Image Url","Video Url","Product Desc","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Store Level","Comment Score","Promotion Url","Seller Code","Code Available Time Start","Code Available Time End","Code Campaign Type","Code Value/Rate","Code Mini Spend","Code Quantity","Code Promotion Url"
"1005004654196797","https://ae04.alicdn.com/kf/S9425e5581c7d4ec983a3976360c4663an.jpg","https://cloud.video.taobao.com/play/u/2214211283231/p/1/e/6/t/10301/1100081343904.mp4","F11 Pro 4K F11s Pro 4K Camera Drone GPS 5G FPV HD 2 Axis Stabilized Gimbal EIS Professional Brushless Quadcopter RC Dron","USD 192.77","50.00%","USD","8.0","USD 15.42","0","Good","0","https://s.click.aliexpress.com/e/_Dd6aQy7",,,,,,,,
"1005004340887528","https://ae04.alicdn.com/kf/S083ab2ea8704409a81308dcd474fa166C.jpg","https://cloud.video.taobao.com/play/u/2214160554007/p/1/e/6/t/10301/1100038126395.mp4,https://cloud.video.taobao.com/play/u/2214160554007/p/1/e/6/t/10301/1100038126180.mp4","LSRC S7S 3-Axis Gimbal GPS 5G WIFI Drone 4K Professional Dual Camera Dron 28min Flight Time Brushless FPV Foldable RC Quadcopter","USD 12.86","26.00%","USD","7","USD 0.90","0","No Score","0","https://s.click.aliexpress.com/e/_DlyMa2J",,,,,,,,
"1005004256182265","https://ae04.alicdn.com/kf/S32e49f47fd0f482294aad2ad56ddd045e.jpg","","Folding Aerial Photography Remote Control Drone 4K Dual ESC Camera RC Quadcopter for Children Holiday Birthday Gift","USD 27.85","33.00%","USD","7","USD 1.95","0","Good","0","https://s.click.aliexpress.com/e/_DmtrQp9",,,,,,,,
"1005004341529616","https://ae04.alicdn.com/kf/A77f2c01486984b56b6021b20fec5c5ffd.jpg","https://cloud.video.taobao.com/play/u/2213359423652/p/1/e/6/t/10301/1100038198570.mp4","E59 Drone 4K HD Camera Profesional Aerial Photography WIFI Real Time Transmission RC Helicopter 360Degree Flip Quadcopter VS E58","USD 33.81","30.00%","USD","8.0","USD 2.70","6","Average","0","https://s.click.aliexpress.com/e/_DFkpnZv",,,,,,,,
"1005004503972835","https://ae04.alicdn.com/kf/S700313cdcb7245c0b15996db569ce743M.jpg","https://cloud.video.taobao.com/play/u/2212887766030/p/1/e/6/t/10301/1100062729370.mp4","New V14 Professional GPS Camera Drone 4K 6K HD 5G FPV WIFI Smart Follow Brushless Foldable Long Distance Quadcopter Drone","USD 31.44","30.00%","USD","7","USD 2.20","8","Average","5","https://s.click.aliexpress.com/e/_DeJeo1N",,,,,,,,
"1005004578910724","https://ae04.alicdn.com/kf/Sf14a87a294454a5790bee85e3fedc1bf4.jpg","https://cloud.video.taobao.com/play/u/2214453272873/p/1/e/6/t/10301/1100073064825.mp4","KBDFA P8 Drone 8K With ESC HD Dual Camera 4K 5G Wifi FPV 360 Full Obstacle Avoidance Optical Flow Hover Foldable Quadcopter Toys","USD 27.45","35.00%","USD","7","USD 1.92","0","No Score","0","https://s.click.aliexpress.com/e/_DDcMbJz",,,,,,,,
"1005004433841455","https://ae04.alicdn.com/kf/Se3365a8eae824b84b385e01ff9bcece0K.jpg","https://cloud.video.taobao.com/play/u/2209486508573/p/1/e/6/t/10301/1100053508188.mp4","S6S Mini 3 Pro drone 4k professional GPS 5KM 4K Drones HD Camera Quadcopter With Camera Brushless Motor 360 Obstacle Avoidance","USD 78.18","32.00%","USD","7","USD 5.47","4","Good","0","https://s.click.aliexpress.com/e/_DlLDYWR",,,,,,,,
"1005004518158625","https://ae04.alicdn.com/kf/S79a509a96b6b4d8889a1205c36af7ee06.jpg","","2022 New 4DRC V10 RC Mini Drone 4k profesional HD Camera WIFI Fpv Drones With Camera HD 4K RC Helicopters Quadcopter Dron Toys","USD 32.83","50.00%","USD","8.0","USD 2.63","8","Good","5","https://s.click.aliexpress.com/e/_DDh3wOr",,,,,,,,
"1005004207329130","https://ae04.alicdn.com/kf/S8aefce154c754df6b6795f5cdcc89f69k.jpg","https://cloud.video.taobao.com/play/u/2212829549066/p/1/e/6/t/10301/1100017102838.mp4","New P8 RC Drone with 8K Camera Obstacle Avoidance Folding Drone HD 8K Aerial Photography Quadcopter Toy Remote Control Plane","USD 40.25","50.00%","USD","8.0","USD 3.22","7","Below Average","5","https://s.click.aliexpress.com/e/_DFyZ9GJ",,,,,,,,
"1005004306054469","https://ae04.alicdn.com/kf/S5c6252e7a0af40dd97d753e436f9302dr.jpg","https://cloud.video.taobao.com/play/u/2212782222510/p/1/e/6/t/10301/1100031875068.mp4","K911 MAX GPS Drone 8K Professional Obstacle Avoidance DualHD Camera Brushless Motor Quadcopter RC Distance 1200 M Kids Toys Gift","USD 88.04","40.00%","USD","10.0","USD 8.80","3","Good","3","https://s.click.aliexpress.com/e/_Dc7iZ3z",,,,,,,,
